"summary","score","domain_name","domain_key","trend","confidence","next_action","protective_factors","data_sources","limiting_factors","id","created_date","updated_date","created_by_id","is_sample"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","48","Learning Capacity","learning_capacity","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7f254d7ff681af92e334f4","2026-08-14T14:25:17.698000","2026-08-14T14:25:17.698000","6a7c91122a05e655a342fc18","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","44","Focus","focus","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7f254d7ff681af92e334ed","2026-08-14T14:25:17.697000","2026-08-14T14:25:17.697000","6a7c91122a05e655a342fc18","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","49","Memory","memory","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7f254d7ff681af92e334ee","2026-08-14T14:25:17.697000","2026-08-14T14:25:17.697000","6a7c91122a05e655a342fc18","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","60","Mental Energy","mental_energy","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7f254d7ff681af92e334ef","2026-08-14T14:25:17.697000","2026-08-14T14:25:17.697000","6a7c91122a05e655a342fc18","false"
"AQLA identified this domain as your primary performance bottleneck based on your assessment.","33","Stress Regulation","stress_regulation","stable","moderate","Follow your FLOW protocol for 14 days","[]","[""Onboarding assessment""]","[""Evening screen use before bed"",""Frequent mental overload""]","6a7f254d7ff681af92e334f0","2026-08-14T14:25:17.697000","2026-08-14T14:25:17.697000","6a7c91122a05e655a342fc18","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","55","Sleep Recovery","sleep_recovery","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7f254d7ff681af92e334f1","2026-08-14T14:25:17.697000","2026-08-14T14:25:17.697000","6a7c91122a05e655a342fc18","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","58","Cognitive Resilience","cognitive_resilience","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7f254d7ff681af92e334f2","2026-08-14T14:25:17.697000","2026-08-14T14:25:17.697000","6a7c91122a05e655a342fc18","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","65","Lifestyle Protection","lifestyle_protection","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a7f254d7ff681af92e334f3","2026-08-14T14:25:17.697000","2026-08-14T14:25:17.697000","6a7c91122a05e655a342fc18","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","48","Focus","focus","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7c3e0b73706c99623f6374","2026-08-12T09:34:03.451000","2026-08-12T09:34:03.451000","6a7c3c86776e4c7809b327a8","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","64","Memory","memory","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7c3e0b73706c99623f6375","2026-08-12T09:34:03.451000","2026-08-12T09:34:03.451000","6a7c3c86776e4c7809b327a8","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","67","Mental Energy","mental_energy","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a7c3e0b73706c99623f6376","2026-08-12T09:34:03.451000","2026-08-12T09:34:03.451000","6a7c3c86776e4c7809b327a8","false"
"AQLA identified this domain as your primary performance bottleneck based on your assessment.","40","Stress Regulation","stress_regulation","stable","moderate","Follow your FLOW protocol for 14 days","[]","[""Onboarding assessment""]","[""Frequent mental overload""]","6a7c3e0b73706c99623f6377","2026-08-12T09:34:03.451000","2026-08-12T09:34:03.451000","6a7c3c86776e4c7809b327a8","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","72","Sleep Recovery","sleep_recovery","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a7c3e0b73706c99623f6378","2026-08-12T09:34:03.451000","2026-08-12T09:34:03.451000","6a7c3c86776e4c7809b327a8","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","66","Cognitive Resilience","cognitive_resilience","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a7c3e0b73706c99623f6379","2026-08-12T09:34:03.451000","2026-08-12T09:34:03.451000","6a7c3c86776e4c7809b327a8","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","69","Lifestyle Protection","lifestyle_protection","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a7c3e0b73706c99623f637a","2026-08-12T09:34:03.451000","2026-08-12T09:34:03.451000","6a7c3c86776e4c7809b327a8","false"
