id,created_by_base44,domain_key,domain_name,score,confidence,trend,summary,limiting_factors,protective_factors,next_action,data_sources,created_at,updated_at,legacy_base44_user_id,created_by_user_uuid,created_by_id
00000000-6a7c-3e0b-7370-6c99623f6379,,cognitive_resilience,Cognitive Resilience,66,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-3c86-776e-4c7809b327a8
00000000-6a7c-3e0b-7370-6c99623f637a,,lifestyle_protection,Lifestyle Protection,69,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-3c86-776e-4c7809b327a8
00000000-6a7c-3e0b-7370-6c99623f637b,,learning_capacity,Learning Capacity,47,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-3c86-776e-4c7809b327a8
00000000-6a7b-b289-f45e-064bc9fbcec0,,focus,Focus,61,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7b-b074-ffce-f7f9421063b4
00000000-6a7b-b289-f45e-064bc9fbcec1,,memory,Memory,39,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7b-b074-ffce-f7f9421063b4
00000000-6a7b-b289-f45e-064bc9fbcec2,,mental_energy,Mental Energy,65,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7b-b074-ffce-f7f9421063b4
00000000-6a7b-b289-f45e-064bc9fbcec3,,stress_regulation,Stress Regulation,37,moderate,stable,AQLA identified this domain as your primary performance bottleneck based on your assessment.,"[""Late caffeine exposure"", ""Evening screen use before bed"", ""Frequent mental overload""]",[],Follow your FLOW protocol for 14 days,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7b-b074-ffce-f7f9421063b4
00000000-6a7b-b289-f45e-064bc9fbcec4,,sleep_recovery,Sleep Recovery,49,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a7b-b074-ffce-f7f9421063b4
00000000-6a7b-b289-f45e-064bc9fbcec5,,cognitive_resilience,Cognitive Resilience,57,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a7b-b074-ffce-f7f9421063b4
00000000-6a6a-59a3-8036-b6cb13d2848d,,memory,Memory,48,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-887f-c6fa-71d2a566d297
